Options:
Model:                           Discrete: Dependent
Tree File Name:                  pruned_tree.trees
Data File Name:                  BT_data.txt
Log File Name:                   res_dep.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2780318671
Precision:                       64 bits
Cores:                           5
Analysis Type:                   MCMC
Sample Period:                   30000
Iterations:                      30300000
Burn in:                         300000
MCMC ML Start:                   False
Schedule File:                   res_dep.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          None
    q13                          None
    q21                          None
    q24                          None
    q31                          None
    q34                          None
    q42                          None
    q43                          None
Prior Information:
    Prior Categories:            100
    Priors
        q12 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q13 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q21 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q24 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q31 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q34 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q42 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q43 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
Tree Information
     Trees:                      100
     Taxa:                       1993
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	q12 - Shape	q12 - Scale	q13 - Shape	q13 - Scale	q21 - Shape	q21 - Scale	q24 - Shape	q24 - Scale	q31 - Shape	q31 - Scale	q34 - Shape	q34 - Scale	q42 - Shape	q42 - Scale	q43 - Shape	q43 - Scale	
19530000	-2214.809414	5	0.165405	0.150281	0.382547	0.382825	0.101707	0.161144	0.153598	0.054667	0.250000	0.250000	0.250000	0.250000	2.121695	0.464322	3.210137	0.079280	0.555190	8.075154	5.272661	0.127057	0.402441	7.571384	0.798074	8.676719	0.143745	0.342593	0.141434	2.343428	
19560000	-2214.912743	5	0.167971	0.139256	0.265586	0.341498	0.097351	0.160678	0.147062	0.058031	0.250000	0.250000	0.250000	0.250000	0.276477	8.404412	0.370884	0.912073	1.802034	5.504605	1.308305	7.023599	0.238750	4.549517	1.155613	5.137319	0.705197	5.087469	0.125871	2.164197	
19590000	-2214.370559	5	0.176805	0.163544	0.344515	0.351700	0.101849	0.158831	0.160647	0.054772	0.250000	0.250000	0.250000	0.250000	1.197360	8.648465	0.844538	0.409706	0.586579	4.280046	1.359001	0.992715	0.963518	0.301470	0.883620	1.278858	0.107973	3.652925	0.064627	3.801009	
19620000	-2217.467615	5	0.187598	0.124579	0.244063	0.387633	0.096365	0.158509	0.154925	0.071931	0.250000	0.250000	0.250000	0.250000	0.939395	1.719665	2.096173	0.393794	1.720047	4.458159	0.312465	4.611108	1.456222	0.103900	0.340684	2.183695	0.085636	6.020945	0.776361	3.966427	
19650000	-2216.696426	5	0.163508	0.166518	0.323110	0.329543	0.107861	0.135327	0.139647	0.048712	0.250000	0.250000	0.250000	0.250000	0.845227	5.163258	0.415324	0.651674	0.338312	4.020949	2.938261	0.432519	0.194954	7.606861	1.168752	0.788489	0.573634	6.070735	1.048883	0.678188	
19680000	-2223.558148	5	0.141445	0.159010	0.263435	0.526575	0.074485	0.139194	0.256136	0.039796	0.250000	0.250000	0.250000	0.250000	1.376675	0.514950	0.127250	6.997354	0.296253	3.897590	0.322082	1.785973	0.835878	7.961803	0.557250	5.279813	0.593030	0.901354	4.236972	0.035902	
19710000	-2215.921522	5	0.157275	0.155510	0.294885	0.443844	0.099415	0.173934	0.188990	0.044630	0.250000	0.250000	0.250000	0.250000	0.241083	4.705803	1.017815	3.346119	6.985084	0.042438	0.263706	2.488773	0.387154	4.974027	1.040467	2.295967	0.973306	1.845826	0.506809	1.834544	
19740000	-2217.929589	5	0.177326	0.154865	0.435316	0.410521	0.117254	0.192690	0.179036	0.046154	0.250000	0.250000	0.250000	0.250000	0.686583	7.257940	0.861894	0.919793	6.600437	0.099940	2.672456	0.212103	0.430260	0.132981	0.532693	2.027433	1.076988	0.640019	0.374652	3.752204	
19770000	-2216.474281	5	0.157538	0.140459	0.273311	0.413001	0.103558	0.147825	0.147119	0.049091	0.250000	0.250000	0.250000	0.250000	3.169339	0.141839	1.373834	2.442998	0.583398	5.910320	1.013297	1.526881	1.125922	0.800055	0.930065	0.092173	2.341420	0.349432	0.352952	8.306224	
19800000	-2215.214281	5	0.175472	0.146638	0.345434	0.374650	0.092227	0.138571	0.148826	0.056615	0.250000	0.250000	0.250000	0.250000	1.195491	3.343908	1.443193	2.789069	5.795990	0.098420	1.664220	0.742734	0.303660	1.073985	0.225764	5.329336	2.182388	0.200520	0.577514	5.665702	
19830000	-2218.634683	5	0.169501	0.125314	0.378373	0.488630	0.103149	0.172556	0.165612	0.048339	0.250000	0.250000	0.250000	0.250000	0.915712	0.330463	0.466286	7.912658	2.865107	0.399544	0.743557	8.077194	1.567161	0.103460	0.340187	5.704317	0.786553	2.372427	0.635223	2.975640	
19860000	-2217.489718	5	0.187928	0.167587	0.381613	0.387426	0.128797	0.163484	0.188327	0.048701	0.250000	0.250000	0.250000	0.250000	0.611377	1.998167	0.614209	7.119270	2.267379	1.531788	1.780643	5.859163	0.512047	7.897311	0.728974	7.219591	0.965637	0.581053	0.510839	0.428611	
19890000	-2217.169212	5	0.248688	0.146677	0.486634	0.346594	0.108816	0.159159	0.142299	0.048834	0.250000	0.250000	0.250000	0.250000	1.482288	0.376986	0.275412	5.604817	5.559312	0.150166	2.205504	2.739583	0.530656	2.509252	1.267531	4.452774	0.258933	9.825199	0.154374	9.489413	
19920000	-2219.243665	5	0.165309	0.146608	0.289836	0.458946	0.108537	0.200070	0.223499	0.062834	0.250000	0.250000	0.250000	0.250000	0.383424	1.169425	0.816489	8.055890	2.162062	0.736189	1.044324	1.802583	3.725191	0.038804	1.210997	2.919554	0.965691	2.724585	0.836397	5.133747	
19950000	-2218.271054	5	0.160581	0.144642	0.326785	0.469450	0.128267	0.153991	0.157126	0.060544	0.250000	0.250000	0.250000	0.250000	1.406492	2.540589	1.471537	0.378029	0.316939	1.850763	0.409178	8.217795	1.740672	0.282514	2.948458	0.110432	1.127398	0.969401	5.349101	0.034475	
19980000	-2217.072648	5	0.200753	0.148023	0.326175	0.406799	0.105443	0.158020	0.152613	0.076016	0.250000	0.250000	0.250000	0.250000	0.329561	1.474939	1.470862	0.067310	0.184903	2.801476	1.368123	5.846362	2.348956	0.134041	0.411854	1.521015	1.286906	0.206161	7.503162	0.012395	
20010000	-2214.644053	5	0.180726	0.126928	0.313415	0.429827	0.095233	0.169506	0.176626	0.059434	0.250000	0.250000	0.250000	0.250000	0.329561	1.474939	1.470862	0.067310	0.184903	2.801476	1.368123	5.846362	2.348956	0.134041	0.411854	1.521015	1.286906	0.206161	7.503162	0.012395	
20040000	-2220.099986	5	0.160141	0.150213	0.248165	0.520623	0.126466	0.163353	0.222812	0.053603	0.250000	0.250000	0.250000	0.250000	0.655528	2.555048	0.364134	3.438698	1.667878	0.467209	2.363244	8.972534	0.420875	0.616528	0.693933	0.978094	0.956675	4.279402	9.280278	0.011101	
20070000	-2219.425338	5	0.221775	0.143615	0.321514	0.262290	0.101083	0.143376	0.136061	0.044216	0.250000	0.250000	0.250000	0.250000	1.462438	2.085116	0.617228	0.322217	3.104027	0.193577	0.539178	9.201795	0.554470	0.864676	0.307376	0.369499	0.057581	7.141881	6.343521	0.019402	
20100000	-2216.700580	5	0.191305	0.158966	0.364450	0.384971	0.095742	0.167846	0.137512	0.060878	0.250000	0.250000	0.250000	0.250000	1.170350	4.892743	1.533822	2.603962	2.719018	0.064641	0.954769	9.971722	2.818806	0.079855	0.482046	1.853286	0.185015	7.316721	7.326546	0.008892	
20130000	-2222.041875	5	0.217633	0.164407	0.493786	0.295976	0.132759	0.177420	0.139523	0.024576	0.250000	0.250000	0.250000	0.250000	0.306464	6.150533	1.327560	1.978309	1.046474	1.654868	1.745381	9.904865	0.426113	0.713624	0.875896	2.995199	1.094961	9.598482	8.148889	0.003995	
20160000	-2217.648636	5	0.194808	0.136496	0.359083	0.434957	0.109379	0.144625	0.195510	0.068513	0.250000	0.250000	0.250000	0.250000	0.396383	4.819506	1.019398	0.069319	0.378840	2.349414	0.172858	7.783166	0.259581	1.422703	0.362496	1.451767	0.108552	8.828367	8.872314	0.009837	
20190000	-2214.820419	5	0.161827	0.139787	0.319148	0.392769	0.084692	0.143734	0.155474	0.047645	0.250000	0.250000	0.250000	0.250000	0.510067	5.354064	0.461153	1.193937	1.390446	0.328009	0.454537	7.885879	0.562512	2.607242	1.351107	1.949992	0.338374	8.023228	8.189931	0.013930	
20220000	-2225.568721	5	0.125334	0.126018	0.325382	0.301969	0.137305	0.165506	0.126215	0.054764	0.250000	0.250000	0.250000	0.250000	0.317395	6.138504	1.817267	0.095191	1.762132	1.656142	0.334207	6.375476	0.806123	1.760183	0.732173	1.995782	0.464994	6.795305	8.762363	0.005391	
20250000	-2217.838984	5	0.201515	0.159427	0.454843	0.473121	0.107200	0.158908	0.193185	0.039287	0.250000	0.250000	0.250000	0.250000	1.413550	6.750335	1.639812	0.126551	0.300839	1.065146	0.550633	5.026030	0.490342	1.673765	0.632377	2.775516	0.486692	6.956794	8.988852	0.004134	
20280000	-2215.510741	5	0.176381	0.152925	0.293528	0.356753	0.096725	0.168072	0.163151	0.069227	0.250000	0.250000	0.250000	0.250000	1.170645	7.815102	0.694375	2.351111	0.757851	0.309531	0.664796	3.765308	2.354367	1.265286	0.878077	1.156941	1.373050	8.444950	6.390803	0.019954	
20310000	-2219.339889	5	0.215025	0.124915	0.399039	0.344025	0.130645	0.139822	0.134582	0.044076	0.250000	0.250000	0.250000	0.250000	1.345122	0.154708	0.793416	6.503266	1.664719	0.487821	1.823308	0.516847	0.327202	3.999215	0.519574	3.493335	0.642611	1.607341	0.420304	0.062576	
20340000	-2218.324010	5	0.153133	0.147356	0.315357	0.512751	0.086554	0.144976	0.197928	0.035996	0.250000	0.250000	0.250000	0.250000	2.033966	0.177959	0.766291	7.554832	0.728550	0.770520	0.614132	0.730294	0.440977	4.625080	7.392364	0.024302	1.683731	0.171009	0.747697	6.993382	
20370000	-2215.511674	5	0.169702	0.133343	0.345086	0.405382	0.099965	0.183466	0.154051	0.069191	0.250000	0.250000	0.250000	0.250000	0.692076	1.997274	0.515553	9.153818	0.645483	0.658721	1.973243	0.123418	0.687448	6.540292	8.661110	0.018321	1.872571	1.157802	0.462443	6.312745	
20400000	-2217.896803	5	0.237378	0.161979	0.502222	0.345043	0.110719	0.142314	0.148387	0.052112	0.250000	0.250000	0.250000	0.250000	0.424850	8.405319	0.675700	8.587965	0.626034	0.631793	1.361862	1.090033	0.298088	5.046604	9.204385	0.012016	3.846160	0.508423	0.164013	5.045397	
20430000	-2217.982902	5	0.170287	0.154831	0.335714	0.319780	0.093906	0.124207	0.141468	0.057044	0.250000	0.250000	0.250000	0.250000	0.826154	8.681691	0.386335	7.698514	3.247962	0.099116	0.554507	0.613646	0.829664	6.379172	7.653312	0.021011	0.055547	6.311625	0.911974	5.453371	
20460000	-2217.201856	5	0.228223	0.151892	0.452838	0.335003	0.107488	0.159987	0.134278	0.037094	0.250000	0.250000	0.250000	0.250000	0.499960	5.947504	0.710098	7.343956	1.277194	0.557472	0.813271	0.989603	0.124731	7.485522	8.421279	0.035600	0.144725	6.798409	0.746843	6.667120	
20490000	-2218.067961	5	0.151713	0.137281	0.305897	0.408400	0.096993	0.195417	0.144508	0.051774	0.250000	0.250000	0.250000	0.250000	0.499960	5.947504	0.710098	7.343956	1.277194	0.557472	0.813271	0.989603	0.124731	7.485522	8.421279	0.035600	0.144725	6.798409	0.746843	6.667120	
20520000	-2216.886279	5	0.159256	0.126548	0.318019	0.363612	0.084360	0.192090	0.133858	0.063197	0.250000	0.250000	0.250000	0.250000	0.508812	1.756836	1.148260	3.357086	0.541223	1.037002	2.259703	1.838813	1.032064	0.099729	1.683798	0.071429	1.384903	3.409735	0.037283	4.733723	
20550000	-2217.930490	5	0.162878	0.147474	0.300025	0.462701	0.095087	0.172827	0.150942	0.066113	0.250000	0.250000	0.250000	0.250000	0.369335	6.610061	2.579904	0.227870	1.612732	1.574605	1.107507	0.267203	0.825040	0.585170	0.281990	2.590601	0.773495	5.977077	1.615954	0.115379	
20580000	-2216.414447	5	0.202866	0.175877	0.388920	0.377213	0.112154	0.164657	0.157151	0.046302	0.250000	0.250000	0.250000	0.250000	0.204982	5.233375	1.389346	1.333936	1.163564	3.262937	1.546996	3.719284	0.237287	8.279845	1.257613	8.691803	1.171683	1.630327	0.101227	4.224370	
20610000	-2220.116604	5	0.224981	0.166011	0.480656	0.378468	0.128615	0.135057	0.168203	0.032054	0.250000	0.250000	0.250000	0.250000	0.373051	2.142600	0.327090	5.869011	1.145257	4.810400	2.634998	2.874593	2.415502	0.156674	0.389748	7.113724	8.491502	0.019232	0.169824	2.905878	
20640000	-2217.260210	5	0.190902	0.147138	0.289658	0.419713	0.121352	0.136928	0.182344	0.057312	0.250000	0.250000	0.250000	0.250000	1.209069	1.684649	0.865224	2.802486	0.755947	5.194084	1.328739	3.867029	0.681013	3.179859	0.685192	7.969849	9.882350	0.022708	0.565568	1.044786	
20670000	-2216.668555	5	0.167751	0.113249	0.337039	0.430396	0.094048	0.143391	0.161665	0.050377	0.250000	0.250000	0.250000	0.250000	1.523654	0.224804	0.749051	1.232782	0.799238	1.567427	0.953412	3.026763	0.740257	2.713104	0.705576	8.742208	6.909780	0.027763	0.633548	0.448609	
20700000	-2215.340019	5	0.173149	0.172764	0.354764	0.346386	0.115453	0.169563	0.159316	0.055048	0.250000	0.250000	0.250000	0.250000	0.739457	0.225036	1.706752	0.325343	1.549906	4.342678	0.293948	5.811618	0.690205	3.806043	0.250330	6.708004	9.999880	0.012471	0.537570	0.886593	
20730000	-2218.341945	5	0.190829	0.114290	0.269348	0.323882	0.092713	0.175429	0.135743	0.071781	0.250000	0.250000	0.250000	0.250000	0.541764	0.448551	3.957022	0.026265	0.551271	3.260062	2.021195	6.246224	0.304091	6.624167	1.264342	5.939954	9.223460	0.023236	1.013976	0.563875	
20760000	-2220.671617	5	0.155526	0.132549	0.272819	0.412816	0.090649	0.141621	0.212771	0.031996	0.250000	0.250000	0.250000	0.250000	2.071447	0.214424	0.547051	5.434806	1.100089	1.055758	0.767934	6.793234	0.618675	3.299542	1.480238	0.106995	1.506297	0.520298	0.445908	3.832413	
20790000	-2216.873274	5	0.207155	0.157575	0.479759	0.356296	0.110989	0.182305	0.143405	0.054330	0.250000	0.250000	0.250000	0.250000	0.664853	2.484835	0.325930	9.766100	0.874007	1.632935	4.088776	0.866190	0.318718	9.347109	0.739846	8.481285	0.147298	4.355352	1.215406	6.769332	
20820000	-2221.581123	5	0.190242	0.127888	0.276574	0.295753	0.111022	0.168825	0.133776	0.036840	0.250000	0.250000	0.250000	0.250000	2.220776	0.103568	0.642612	2.907898	0.384654	3.070959	1.426423	1.245096	4.790590	0.020870	0.917169	6.274045	0.261892	2.706723	0.099980	4.305604	
20850000	-2215.748107	5	0.194856	0.144674	0.417731	0.310831	0.110159	0.177368	0.136105	0.042769	0.250000	0.250000	0.250000	0.250000	0.713974	8.929978	0.468562	6.946687	0.421368	7.456211	0.417563	0.473598	1.383986	0.373984	1.338640	0.177245	1.428548	0.127675	0.337202	9.431601	
20880000	-2217.946423	5	0.185483	0.125899	0.342880	0.356885	0.118442	0.183826	0.172128	0.065763	0.250000	0.250000	0.250000	0.250000	0.763881	1.815879	0.859734	4.497187	0.668731	3.750315	1.387245	1.791919	0.379256	8.021202	0.226466	1.922603	0.623716	0.449740	0.402110	8.975868	
20910000	-2216.031457	5	0.197965	0.141060	0.422979	0.362718	0.119979	0.165397	0.147895	0.047800	0.250000	0.250000	0.250000	0.250000	0.986396	1.494426	0.399140	5.683933	5.863863	0.089713	1.183625	0.954905	0.333505	3.673464	0.182789	9.002730	0.139812	5.963376	0.854512	2.073709	
20940000	-2217.546710	5	0.163672	0.146699	0.263472	0.370614	0.107591	0.132886	0.177494	0.057952	0.250000	0.250000	0.250000	0.250000	0.772323	0.808645	0.602320	0.381318	1.699412	2.866502	1.412536	0.140756	2.734927	0.058998	1.187222	7.307321	1.787607	0.405295	0.383714	4.760749	
20970000	-2216.479448	5	0.193042	0.150986	0.316153	0.439938	0.101889	0.149585	0.157653	0.061012	0.250000	0.250000	0.250000	0.250000	1.065311	0.353478	0.514814	8.387009	2.403422	0.589753	1.094036	1.323726	0.564789	2.908186	0.825516	1.335370	3.099166	0.176606	0.992875	4.436171	
21000000	-2219.871582	5	0.147684	0.098120	0.287531	0.398335	0.079310	0.163432	0.147053	0.062100	0.250000	0.250000	0.250000	0.250000	7.233152	0.023100	0.602343	6.209522	0.498284	9.050719	2.483827	0.126053	0.200073	0.340783	0.339704	5.736203	1.323927	1.748119	0.533641	2.722209	
21030000	-2214.558349	5	0.183234	0.163583	0.381927	0.333834	0.107411	0.176744	0.146111	0.054116	0.250000	0.250000	0.250000	0.250000	7.233152	0.023100	0.602343	6.209522	0.498284	9.050719	2.483827	0.126053	0.200073	0.340783	0.339704	5.736203	1.323927	1.748119	0.533641	2.722209	
21060000	-2220.584111	5	0.153950	0.167027	0.268019	0.462678	0.134960	0.141661	0.202729	0.061117	0.250000	0.250000	0.250000	0.250000	9.655556	0.009161	0.610825	9.207893	1.104461	5.319476	3.295411	0.224554	0.280805	2.604305	0.722010	7.891262	0.676740	1.373005	0.513398	5.515559	
21090000	-2214.863356	5	0.174827	0.143739	0.326222	0.363766	0.094618	0.156059	0.138031	0.045892	0.250000	0.250000	0.250000	0.250000	8.112236	0.038881	0.179308	8.579233	0.313662	5.385206	0.044943	1.191416	0.437172	3.685390	0.166604	9.316446	0.545477	1.455638	0.453933	7.647742	
21120000	-2217.325773	5	0.180499	0.161606	0.464515	0.394478	0.111776	0.152510	0.160869	0.046280	0.250000	0.250000	0.250000	0.250000	7.532526	0.041454	1.510347	7.268730	1.140969	9.857952	0.745722	6.041027	0.432313	3.466971	1.101540	7.219284	0.953118	0.114400	0.500076	8.966682	
21150000	-2220.623889	5	0.245599	0.163093	0.532941	0.404988	0.120795	0.158927	0.184487	0.033585	0.250000	0.250000	0.250000	0.250000	7.066253	0.036586	0.510458	8.675775	0.870850	7.479551	0.242812	9.091802	0.391667	2.071293	1.133140	0.941329	0.197664	8.721244	0.244246	5.335989	
21180000	-2221.186396	5	0.128620	0.140305	0.225706	0.351365	0.134346	0.171706	0.156504	0.053853	0.250000	0.250000	0.250000	0.250000	2.601727	0.075874	0.386146	1.431193	0.328511	3.079137	0.713338	3.791174	0.737922	0.419279	0.848783	3.160002	0.251211	4.497006	1.509831	0.623634	
21210000	-2214.295901	5	0.196167	0.147783	0.378232	0.335497	0.106883	0.172918	0.157462	0.047665	0.250000	0.250000	0.250000	0.250000	0.321683	5.702437	0.823800	0.887682	0.297505	5.750727	0.374373	5.879748	0.710899	7.675614	0.051179	9.067227	6.481014	0.031327	1.030650	1.292387	
21240000	-2217.246563	5	0.179991	0.130494	0.258799	0.324086	0.105890	0.163064	0.143148	0.076915	0.250000	0.250000	0.250000	0.250000	0.783489	4.020526	1.062106	0.926950	0.726126	1.318850	0.315283	4.418824	0.310211	8.957680	1.128351	3.754669	1.010230	4.310434	0.644614	1.794460	
21270000	-2215.183254	5	0.203701	0.127902	0.329103	0.378835	0.104213	0.156972	0.159254	0.055909	0.250000	0.250000	0.250000	0.250000	3.533916	0.083741	0.744181	3.307989	1.699735	1.338793	0.266031	0.265974	3.370096	0.016623	2.438453	0.019404	0.993797	4.269384	0.391704	9.608001	
21300000	-2221.150830	5	0.190775	0.139430	0.269287	0.466776	0.105306	0.178408	0.180874	0.041325	0.250000	0.250000	0.250000	0.250000	1.068533	4.859188	0.458096	4.239364	4.754247	0.052174	0.563385	9.600067	3.401845	0.017177	1.699148	0.466937	0.296344	2.905990	0.562063	1.286289	
21330000	-2218.562275	5	0.202575	0.158504	0.384116	0.429744	0.127630	0.170161	0.196315	0.042797	0.250000	0.250000	0.250000	0.250000	1.384731	0.367810	0.266839	5.030938	1.085480	0.821201	2.494839	4.465275	1.307401	4.974549	1.175007	0.165795	4.405304	0.100229	1.020087	4.868270	
21360000	-2218.994278	5	0.174004	0.184182	0.414546	0.333972	0.140174	0.182147	0.150359	0.049552	0.250000	0.250000	0.250000	0.250000	0.971554	6.997064	1.161397	3.213751	2.833040	0.446235	3.958512	0.110146	3.535295	0.029669	1.700945	1.757420	0.763478	0.262016	0.517389	7.417831	
21390000	-2218.191920	5	0.208613	0.156814	0.407280	0.291259	0.123660	0.173946	0.156971	0.034640	0.250000	0.250000	0.250000	0.250000	6.024256	0.033319	1.621191	0.238100	1.251044	1.262925	6.203605	0.073719	0.140486	6.194377	1.589521	2.624950	0.667382	2.102449	0.382424	2.001341	
21420000	-2215.485108	5	0.162977	0.167133	0.359753	0.362251	0.111375	0.163265	0.154923	0.057499	0.250000	0.250000	0.250000	0.250000	6.024256	0.033319	1.621191	0.238100	1.251044	1.262925	6.203605	0.073719	0.140486	6.194377	1.589521	2.624950	0.667382	2.102449	0.382424	2.001341	
21450000	-2215.724133	5	0.191180	0.146461	0.355883	0.359137	0.088733	0.128220	0.160965	0.044273	0.250000	0.250000	0.250000	0.250000	6.024256	0.033319	1.621191	0.238100	1.251044	1.262925	6.203605	0.073719	0.140486	6.194377	1.589521	2.624950	0.667382	2.102449	0.382424	2.001341	
21480000	-2217.449160	5	0.190750	0.162026	0.447588	0.417927	0.110219	0.161291	0.151140	0.051687	0.250000	0.250000	0.250000	0.250000	6.085429	0.047536	0.203635	1.509700	2.092000	1.304503	6.355725	0.070268	0.978781	5.402558	0.778543	2.526884	1.504146	1.668507	0.189424	3.731069	
21510000	-2221.033524	5	0.159870	0.142103	0.248010	0.533392	0.134606	0.138823	0.220853	0.054997	0.250000	0.250000	0.250000	0.250000	2.743462	0.087330	0.709884	1.584219	0.703631	0.140681	0.218932	0.828043	0.560128	1.927218	0.313592	7.363860	1.663871	0.635342	3.006079	0.039626	
21540000	-2215.667964	5	0.188926	0.149104	0.352978	0.329887	0.103968	0.183136	0.136109	0.045436	0.250000	0.250000	0.250000	0.250000	0.907777	1.883674	1.057304	0.864735	0.915175	1.551170	0.822519	0.942039	0.472137	2.410288	0.570119	0.678868	1.759335	0.281941	0.170936	6.812851	
21570000	-2215.643309	5	0.212514	0.159935	0.399425	0.346706	0.109406	0.155511	0.140226	0.046019	0.250000	0.250000	0.250000	0.250000	0.641088	0.503081	0.885424	0.529575	1.729920	1.544613	0.330566	4.461342	1.072181	0.737779	5.086953	0.053271	1.002129	4.800426	0.325410	5.681052	
21600000	-2223.055393	5	0.164663	0.158644	0.337990	0.527960	0.095635	0.122737	0.243796	0.035982	0.250000	0.250000	0.250000	0.250000	0.281281	7.823725	0.063598	7.097903	0.767041	5.425325	2.353558	0.262626	0.806880	7.576049	1.750316	0.646000	0.772737	4.618462	0.372791	6.632288	
21630000	-2218.156326	5	0.137118	0.159969	0.275423	0.499606	0.090113	0.168298	0.202880	0.057799	0.250000	0.250000	0.250000	0.250000	5.005555	0.055301	0.314807	8.894965	3.542485	0.197660	2.138811	0.458021	1.311082	7.529644	1.951381	0.147445	2.411163	0.480554	1.017269	4.373217	
21660000	-2221.833946	5	0.153513	0.162518	0.418896	0.427391	0.098140	0.135027	0.149652	0.033645	0.250000	0.250000	0.250000	0.250000	6.145942	0.042118	0.284938	7.112517	0.372795	0.314123	1.299148	1.254470	0.588307	9.489901	1.423150	5.562759	1.194071	0.231173	0.418892	2.779439	
21690000	-2215.438372	5	0.188506	0.157611	0.348336	0.309358	0.111290	0.174755	0.139949	0.042536	0.250000	0.250000	0.250000	0.250000	6.118598	0.050534	0.644329	6.441283	1.036680	5.721428	1.595231	2.124801	0.487533	6.917865	2.482088	0.077285	0.500825	3.755130	0.376696	7.496258	
21720000	-2219.969986	5	0.241660	0.139984	0.462377	0.428351	0.108254	0.122102	0.157689	0.039530	0.250000	0.250000	0.250000	0.250000	0.832027	1.294374	3.660082	0.092715	0.988614	2.498783	2.443484	1.152640	0.412324	0.343226	0.544277	0.190079	0.993782	1.364092	0.753680	4.747888	
21750000	-2219.911153	5	0.255229	0.136995	0.451347	0.306093	0.111360	0.149309	0.152407	0.035029	0.250000	0.250000	0.250000	0.250000	0.453728	1.488826	0.569419	5.619616	1.437931	2.443372	0.200180	0.444851	0.084699	3.424964	0.614151	8.743084	0.567158	2.616162	1.523989	2.964690	
21780000	-2218.008199	5	0.200097	0.163679	0.391208	0.416656	0.108412	0.133946	0.163218	0.033908	0.250000	0.250000	0.250000	0.250000	4.669599	0.094500	1.677272	0.064074	1.360337	2.734492	0.511911	6.063251	0.122101	6.282299	0.651725	2.065853	0.960279	3.077501	0.171919	1.983493	
21810000	-2217.411207	5	0.194776	0.148223	0.326240	0.514448	0.101833	0.157548	0.190856	0.066911	0.250000	0.250000	0.250000	0.250000	1.446056	3.356946	2.691879	2.124562	1.188058	4.350987	3.341582	0.251110	2.303974	0.100813	0.602882	0.995650	2.849402	0.452860	0.705509	6.930243	
21840000	-2220.785864	5	0.203025	0.133086	0.262343	0.385852	0.116067	0.126693	0.185527	0.058767	0.250000	0.250000	0.250000	0.250000	1.898355	5.330713	0.733041	1.417356	0.589160	6.928553	0.688182	1.604789	3.673011	0.063327	0.871563	0.390581	0.916519	0.403249	0.092933	1.654165	
21870000	-2219.934650	5	0.168011	0.130822	0.395567	0.303044	0.121855	0.201799	0.138638	0.061482	0.250000	0.250000	0.250000	0.250000	0.513615	2.030022	0.485693	1.290778	3.360479	0.199791	0.713109	5.853502	0.191976	5.378246	0.867038	2.712930	3.463703	0.065257	0.111478	7.242727	
21900000	-2219.044945	5	0.150004	0.125912	0.266920	0.480715	0.082835	0.156920	0.164716	0.043371	0.250000	0.250000	0.250000	0.250000	0.207605	4.011446	0.927310	1.507548	0.465014	6.826876	1.436897	0.432097	0.564154	4.093078	0.909756	0.255912	0.082594	5.903158	0.661674	3.034336	
21930000	-2216.237741	5	0.187772	0.140500	0.301785	0.358185	0.130210	0.153837	0.138584	0.062161	0.250000	0.250000	0.250000	0.250000	5.838123	0.031510	0.958439	6.902172	2.214175	0.640244	4.333398	0.157524	0.690740	1.269435	0.110328	0.877124	5.270418	0.020197	1.355311	4.282555	
21960000	-2217.965618	5	0.155092	0.187483	0.375958	0.268689	0.113596	0.188341	0.136330	0.037699	0.250000	0.250000	0.250000	0.250000	4.381360	0.021321	0.336458	8.037153	0.701475	3.591765	1.913768	0.270431	1.938659	0.239324	1.237009	1.401623	4.419504	0.039390	0.383549	1.332574	
21990000	-2215.928828	5	0.178566	0.158882	0.352527	0.263513	0.116622	0.176260	0.127614	0.051247	0.250000	0.250000	0.250000	0.250000	4.747383	0.078085	0.735298	8.011527	0.749573	3.058768	3.128563	0.235823	2.718956	0.065653	0.650468	0.896530	3.764214	0.050593	0.216089	0.551621	
22020000	-2216.131751	5	0.191496	0.142361	0.385870	0.408925	0.109988	0.132278	0.152592	0.047876	0.250000	0.250000	0.250000	0.250000	4.747383	0.078085	0.735298	8.011527	0.749573	3.058768	3.128563	0.235823	2.718956	0.065653	0.650468	0.896530	3.764214	0.050593	0.216089	0.551621	
